,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields,cluster
apimatic.io,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,11,4,4
apis.guru,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,11,4,4
apitore.com:2chMatomeFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:certificateFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:cosineSimilarity,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:designFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:documentFrequencyApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:gameFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:japaneseWordnetApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:kmeansClusteringByWord2vec,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:kuromojiApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:languageDetectionApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:newsFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:pioneerBlogFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:rss2jsonApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:sentenceSeparatorApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:sentenceSimilarity,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:sentencepieceApis_tweet_,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:sentencepieceApis_wikipedia_,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:sentimentApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:synonymApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:techFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:text2labelByTfidfApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:text2labelByWordVectorApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:travelFeedsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:tweetSummarizationApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:twitterApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:twitterApisWithSentimentByApitoreSentimentApi,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:twitterApisWithWord2vecQueryExpansion,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
"apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:url2hrefApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:url2htmlApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:url2labelByTfidfApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:url2labelByWordVectorApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:url2srcApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:url2textApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:word2vecApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordnetApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordnetHypernymApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordnetHyponymApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordnetSimilarityApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordnetSynonymApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordnetTranslationApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
apitore.com:wordsToVectorsApis,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5,7
applicationinsights.io:applicationinsights-AppInsights,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,12,3,11
appveyor.com,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0,6
archive.org:search,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,9,6,1
archive.org:wayback,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,10,5,0
art19.com,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4,5
ato.gov.au,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,12,3,11
aucklandmuseum.com,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,6,9,0
authentiq.io,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,13,2,6
avaza.com,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,8,7,8
aviationdata.systems,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,9,6,1
azure.com:advisor,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:analysisservices,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimapis,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimauthorizationservers,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimbackends,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimcertificates,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimdeployment,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimdiagnostics,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimemailtemplate,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimgroups,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimidentityprovider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimloggers,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimnetworkstatus,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimnotifications,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimopenidconnectproviders,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimproducts,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimproperties,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimquotas,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimreports,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimsubscriptions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimtagresources,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimtags,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimtenant,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimusers,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:apimanagement-apimversionsets,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-aiOperations_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-componentAnnotations_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-componentApiKeys_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-componentContinuousExport_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-componentFeaturesAndPricing_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-componentProactiveDetection_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-componentWorkItemConfigs_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-components_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-favorites_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-webTestLocations_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:applicationinsights-webTests_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:authorization,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:authorization-authorization-ClassicAdminCalls,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:authorization-authorization-RACalls,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:authorization-authorization-RoleBasedCalls,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-account,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-certificate,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-connection,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-connectionType,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-credential,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-dscCompilationJob,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-dscConfiguration,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-dscNode,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-dscNodeConfiguration,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-hybridRunbookWorkerGroup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-job,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-jobSchedule,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-linkedWorkspace,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-module,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-runbook,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-schedule,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-softwareUpdateConfiguration,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,10,5,3
azure.com:automation-softwareUpdateConfigurationMachineRun,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,10,5,3
azure.com:automation-softwareUpdateConfigurationRun,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,10,5,3
azure.com:automation-sourceControl,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9,6,1
azure.com:automation-sourceControlSyncJob,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9,6,1
azure.com:automation-variable,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:automation-webhook,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-Alert,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-CommerceAdmin,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-EdgeGateway,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-EdgeGatewayPool,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-FabricLocation,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-FileShare,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-InfraRole,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-InfraRoleInstance,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-IpPool,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
azure.com:azsadmin-LogicalNetwork,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,2
